"","Number","Cell","Slice","Date","Sample","blah","cell_num","donor_id","Mouse date of birth","age","biological_sex","genotype","Targeted layer","Inferred layer","Cre","Exon reads","Intron reads","Intergenic reads","Sequencing batch","Number of genes detected","RNA family","RNA type","RNA type confidence","RNA type top-3","ALM/VISp top-3","top_cluster_string","top_alm_visp_cluster","subclass","corresponding_AIT2.3.1_alias","layer","type","region","cluster_score_string","cluster_score_string_number","rest","top_alm_visp_subclass","Length (bp)","Yield (pg/µl)","User","hold_time","Soma depth (µm)","Soma depth (4x)","Cortical thickness (4x)","Cortical thickness (µm)","Traced","Exclusion reasons","X1","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass","top_cluster_score","depth_from_pia_um","cell_count_per_donor","norm_cell_num","class","second","cluster_label","median_cluster_label_Microglia"
"496",327,"20180822_sample_3","20180822_slice_3",2018-08-22,"sample 3","sample",3,"mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",2228689,1551265,179459,4,11860,"Pvalb","Pvalb Il1rapl2",0.9,"Pvalb Il1rapl2 (89.9%), Pvalb Kank4 (6.4%)","Pvalb Tpbg (96.0%)","Pvalb Tpbg (96.0%)","Pvalb Tpbg","Pvalb","Pvalb Tpbg",NA,NA,NA,"96.0%)","96.0","","Pvalb",2163,340.54,"Fede",45,"250.3",100.4,528.9,1459.764,"y",NA,327,"GABAergic","Pvalb_on",182.65543002794,0.850985088890702,NA,0.422271059948506,0.0445494002100738,0.129042703221834,NA,-Inf,0.281059834681426,0.0396169716492696,NA,NA,0.0276067742570075,TRUE,96,250.3,6,3,"GABAergic","Tpbg","Pvalb",0.0999006568281462
"497",328,"20180822_sample_4","20180822_slice_4",2018-08-22,"sample 4","sample",4,"mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1545566,1006116,150987,4,9629,"Pvalb","Pvalb Reln",0.4,"Pvalb Reln (39.9%), Pvalb Calb1_2 (31.7%), Pvalb Gpr149 (19.0%)","Pvalb Reln Tac1 (89.0%), Pvalb Reln Itm2a (9.0%)","Pvalb Reln Tac1 (89.0%), Pvalb Reln Itm2a (9.0%)","Pvalb Reln Tac1","Pvalb","Pvalb Reln",NA,NA,NA,"89.0%), Pvalb Reln Itm2a","89.0",", Pvalb Reln Itm2a","Pvalb",1706,182.26,"Fede",48,"755.3",273.7,575.1,1587.276,"y",NA,328,"GABAergic","Pvalb_on",164.947148720322,0.768482842226807,NA,0.306523738020154,0.0346627474337626,0.127558414188035,NA,-Inf,0.225733696448136,0.108274642372343,NA,NA,0.0362200151322618,TRUE,89,755.3,6,4,"GABAergic","Reln","Pvalb",0.103059679428069
"498",329,"20180822_sample_6","20180822_slice_6",2018-08-22,"sample 6","sample",6,"mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",994316,976388,126864,4,9029,"Pvalb","Pvalb Il1rapl2",0.81,"Pvalb Il1rapl2 (81.3%), Pvalb Reln (18.1%)","Pvalb Reln Itm2a (64.0%), Pvalb Tpbg (36.0%)","Pvalb Reln Itm2a (64.0%), Pvalb Tpbg (36.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"64.0%), Pvalb Tpbg","64.0",", Pvalb Tpbg","Pvalb",1855,243.31,"Fede",46,"267.1",108.7,601,1658.76,"y",NA,329,"GABAergic","Pvalb_on",138.722896584657,0.646304993304671,NA,0.375915937642457,0.0382516206750991,0.0377904381439356,NA,-Inf,0.130647180105382,0.0125906367696093,NA,NA,0.0476753436302592,TRUE,64,267.1,6,5,"GABAergic","Reln","Pvalb",0.103059679428069
"499",330,"20180822_sample_7","20180822_slice_7",2018-08-22,"sample 7","sample",7,"mouse_MSVHB",2018-06-27,56,"F","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1129888,943837,128660,4,10110,"Pvalb","Pvalb Il1rapl2",0.9,"Pvalb Il1rapl2 (90.0%), Pvalb Reln (8.9%)","Pvalb Reln Itm2a (50.0%), Pvalb Tpbg (50.0%)","Pvalb Reln Itm2a (50.0%), Pvalb Tpbg (50.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"50.0%), Pvalb Tpbg","50.0",", Pvalb Tpbg","Pvalb",1822,347.55,"Fede",50,"253",95.7,556.7,1536.492,"y",NA,330,"GABAergic","Pvalb_on",161.322940225378,0.751597785003177,NA,0.432434266727053,0.107205603465296,0.0744557542642759,NA,-Inf,0.0569221400897173,0.0641568245812119,NA,NA,0.0318662410707262,TRUE,50,253,6,6,"GABAergic","Reln","Pvalb",0.103059679428069
"500",331,"20180828_sample_2","20180828_slice_2",2018-08-28,"sample 2","sample",2,"mouse_UAOAE",2018-06-11,78,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",699422,676959,74942,4,8617,"Pvalb","Pvalb Il1rapl2",0.71,"Pvalb Il1rapl2 (70.7%), Pvalb Reln (24.9%)","Pvalb Reln Itm2a (77.0%), Pvalb Tpbg (15.0%), Pvalb Reln Tac1 (8.0%)","Pvalb Reln Itm2a (77.0%), Pvalb Tpbg (15.0%), Pvalb Reln Tac1 (8.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"77.0%), Pvalb Tpbg","77.0",", Pvalb Tpbg","Pvalb",1858,198.09,"Fede",45,"344.9",124,573.2,1582.032,"y",NA,331,"GABAergic","Pvalb_on",138.544262423275,0.645472743161988,NA,0.380106646390597,-0.0259369500789236,0.0652806831272667,NA,-Inf,0.15817145279766,0.0709808037486181,NA,NA,0.0308374836609949,TRUE,77,344.9,7,1,"GABAergic","Reln","Pvalb",0.103059679428069
"501",332,"20180828_sample_3","20180828_slice_3",2018-08-28,"sample 3","sample",3,"mouse_UAOAE",2018-06-11,78,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",823275,828442,106609,4,10569,"Pvalb","Pvalb Reln",0.84,"Pvalb Reln (83.7%), Pvalb Il1rapl2 (9.7%), Pvalb Gpr149 (3.4%)","Pvalb Reln Itm2a (73.0%), Pvalb Tpbg (22.0%)","Pvalb Reln Itm2a (73.0%), Pvalb Tpbg (22.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"73.0%), Pvalb Tpbg","73.0",", Pvalb Tpbg","Pvalb",1716,370.22,"Fede",55,"540",196.5,607.8,1677.528,"y",NA,332,"GABAergic","Pvalb_on",175.445140902666,0.817392610795411,NA,0.366794564951638,0.0965006723088306,0.271122932287196,NA,-Inf,0.151154939129961,-0.00703165097713044,NA,NA,0.0338710074151268,TRUE,73,540,7,2,"GABAergic","Reln","Pvalb",0.103059679428069
"502",334,"20180828_sample_5","20180828_slice_5",2018-08-28,"sample 5","sample",5,"mouse_UAOAE",2018-06-11,78,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",764395,953326,101451,4,9427,"Pvalb","Pvalb Reln",1,"Pvalb Reln (99.7%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"100.0%)","100.0","","Pvalb",1828,338.09,"Fede",51,"616.6",223.2,582.9,1608.804,"y",NA,334,"GABAergic","Pvalb_on",139.656990448845,0.650656903072298,NA,0.388728661583073,-0.0509440270822699,0.0466530310329957,NA,-Inf,0.0794832052056383,-0.0121961005856469,NA,NA,0.0408918302757858,TRUE,100,616.6,7,4,"GABAergic","Reln","Pvalb",0.103059679428069
"503",335,"20180828_sample_6","20180828_slice_6",2018-08-28,"sample 6","sample",6,"mouse_UAOAE",2018-06-11,78,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1374423,389614,78069,4,10805,"Pvalb","Pvalb Reln",0.64,"Pvalb Reln (64.4%), Pvalb Il1rapl2 (26.7%), Pvalb Kank4 (5.6%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"100.0%)","100.0","","Pvalb",1869,420.64,"Fede",53,"443.3",167.2,598.6,1652.136,"y",NA,335,"GABAergic","Pvalb_on",162.362085147241,0.756439123875864,NA,0.431248347316213,0.0248909788404441,0.0554155719742591,NA,-Inf,0.0821962426733587,0.0468214808034402,NA,NA,0.0652618592102489,TRUE,100,443.3,7,5,"GABAergic","Reln","Pvalb",0.103059679428069
"504",338,"20180829_sample_1","20180829_slice_1",2018-08-29,"sample 1","sample",1,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1589482,2010651,253055,4,11081,"Sst","Sst Calb2",0.77,"Sst Calb2 (77.1%), Sst Pvalb Calb2 (22.9%)","Sst Calb2 Necab1 (69.0%), Sst Calb2 Pdlim5 (29.0%)","Sst Calb2 Necab1 (69.0%), Sst Calb2 Pdlim5 (29.0%)","Sst Calb2 Necab1","Sst","Sst Calb2",NA,NA,NA,"69.0%), Sst Calb2 Pdlim5","69.0",", Sst Calb2 Pdlim5","Sst",1961,735.71,"Fede",39,"Slice Lost",NA,NA,0,NA,NA,338,"GABAergic","Sst_on",194.35505369635,0.90549321539932,NA,0.360915747768083,0.123356684540314,0.0922531120387361,NA,-Inf,0.356622892459784,0.0613617121795832,NA,NA,-0.00170600254768844,TRUE,69,NA,8,1,"GABAergic","Calb2","Sst",0.100979661765209
"505",339,"20180829_sample_2","20180829_slice_2",2018-08-29,"sample 2","sample",2,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1789701,555389,121565,4,12400,"Sst","Sst Calb2",1,"Sst Calb2 (99.6%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","Sst","Sst Calb2",NA,NA,NA,"100.0%)","100.0","","Sst",1845,537.77,"Fede",40,"286.7",108.7,578.6,1596.936,"y",NA,339,"GABAergic","Sst_on",217.290390756207,1.01234812709636,NA,0.478443355569978,0.0927778119059526,0.0449024362134682,NA,Inf,0.0279190087578409,0.0668606915860933,NA,NA,-0.00686104408033807,TRUE,100,286.7,8,2,"GABAergic","Calb2","Sst",0.100979661765209
"506",340,"20180829_sample_3","20180829_slice_3",2018-08-29,"sample 3","sample",3,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1295178,683567,132154,4,10120,"Sst","Sst Calb2",1,"Sst Calb2 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","Sst","Sst Calb2",NA,NA,NA,"100.0%)","100.0","","Sst",1805,260.11,"Fede",42,"200.4",71.8,564.9,1559.124,NA,NA,340,"GABAergic","Sst_on",181.798257861625,0.846991554551017,NA,0.399843953935265,0.0908308198525502,0.206562520492823,NA,-Inf,0.100979661765209,-0.0124373454855345,NA,NA,-0.0249761457128418,TRUE,100,200.4,8,3,"GABAergic","Calb2","Sst",0.100979661765209
"507",341,"20180829_sample_4","20180829_slice_4",2018-08-29,"sample 4","sample",4,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",1031878,833760,111804,4,9314,"Sst","Sst Calb2",1,"Sst Calb2 (99.6%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","Sst","Sst Calb2",NA,NA,NA,"100.0%)","100.0","","Sst",1824,255.55,"Fede",45,"362.4",128.5,549.3,1516.068,NA,NA,341,"GABAergic","Sst_on",174.593916676266,0.813426787694186,NA,0.359055059154088,0.0278168621482371,0.0823381981253535,NA,-Inf,0.137593486106378,0.0264827103016676,NA,NA,-0.00675507357622953,TRUE,100,362.4,8,4,"GABAergic","Calb2","Sst",0.100979661765209
"508",342,"20180829_sample_5","20180829_slice_5",2018-08-29,"sample 5","sample",5,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",810345,969340,184263,4,11709,"Sst","Sst Pvalb Etv1",0.79,"Sst Pvalb Etv1 (78.6%), Sst Calb2 (12.9%), Sst Pvalb Calb2 (4.6%)","Sst Nr2f2 Necab1 (89.0%), Sst Calb2 Pdlim5 (6.0%)","Sst Nr2f2 Necab1 (89.0%), Sst Calb2 Pdlim5 (6.0%)","Sst Nr2f2 Necab1","Sst","Sst Nr2f2",NA,NA,NA,"89.0%), Sst Calb2 Pdlim5","89.0",", Sst Calb2 Pdlim5","Sst",1528,423.46,"Fede",48,"227",82.7,601.4,1659.864,NA,NA,342,"GABAergic","Sst_on",198.995743455523,0.92711402232863,NA,0.464389697657434,0.163680949198094,0.173982711911976,NA,-Inf,0.140688968839281,0.115199891501296,NA,NA,0.0983752089828718,TRUE,89,227,8,5,"GABAergic","Nr2f2","Sst",0.156359063664627
"509",343,"20180829_sample_6","20180829_slice_6",2018-08-29,"sample 6","sample",6,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",956463,420302,83599,4,9081,"Sst","Sst Calb2",1,"Sst Calb2 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","Sst","Sst Calb2",NA,NA,NA,"100.0%)","100.0","","Sst",1805,191.61,"Fede",56,"224.4",80.6,611.7,1688.292,"y",NA,343,"GABAergic","Sst_on",186.509473921832,0.868940940984069,NA,0.375162113344714,0.0549983249627987,0.0473419778008106,NA,-Inf,0.071839882372656,0.0361819513292911,NA,NA,0.0701432550300788,TRUE,100,224.4,8,6,"GABAergic","Calb2","Sst",0.100979661765209
"510",344,"20180829_sample_7","20180829_slice_7",2018-08-29,"sample 7","sample",7,"mouse_PSDCQ",2018-06-19,71,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",999433,601619,85275,4,9315,"Sst","Sst Calb2",0.9,"Sst Calb2 (90.3%), Sst Hpse (8.6%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5 (100.0%)","Sst Calb2 Pdlim5","Sst","Sst Calb2",NA,NA,NA,"100.0%)","100.0","","Sst",1680,315.46,"Fede",60,"286.7",102.6,603.3,1665.108,"y",NA,344,"GABAergic","Sst_on",152.288327696408,0.709505849686045,NA,0.339225203276688,0.154466890677274,0.10189471569015,NA,-Inf,0.247047529721032,0.0894078993698291,NA,NA,-0.017382822420179,TRUE,100,286.7,8,7,"GABAergic","Calb2","Sst",0.100979661765209
"511",346,"20180830_sample_1","20180830_slice_1",2018-08-30,"sample 1","sample",1,"mouse_QLNUF",2018-06-11,80,"M","Pvalb-Cre/wt; Ai9/wt","2/3","5","PV+",614977,40501,43174,4,3890,"Pvalb","Pvalb Reln",0.61,"Pvalb Reln (61.3%), Pvalb Gpr149 (14.3%), Pvalb Kank4 (12.7%)","Pvalb Reln Itm2a (82.0%), Pvalb Gpr149 Islr (9.0%), Pvalb Vipr2 (4.0%)","Pvalb Reln Itm2a (82.0%), Pvalb Gpr149 Islr (9.0%), Pvalb Vipr2 (4.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"82.0%), Pvalb Gpr149 Islr","82.0",", Pvalb Gpr149 Islr","Pvalb",1519,168.47,"Fede",45,"499.9",172.2,528.3,1458.108,"y",NA,346,"GABAergic","Pvalb_on",76.7874527786668,0.357749984867949,NA,0.108680280303929,-0.0698142793618845,0.157362655417725,NA,-Inf,0.402822145432318,0.00661606754137278,NA,NA,-0.0203683055429803,FALSE,82,499.9,4,1,"GABAergic","Reln","Pvalb",0.103059679428069
"512",347,"20180830_sample_2","20180830_slice_2",2018-08-30,"sample 2","sample",2,"mouse_QLNUF",2018-06-11,80,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1402766,1557087,146617,4,11335,"Pvalb","Pvalb Il1rapl2",0.62,"Pvalb Il1rapl2 (61.6%), Pvalb Reln (35.3%)","Pvalb Reln Itm2a (86.0%), Pvalb Tpbg (14.0%)","Pvalb Reln Itm2a (86.0%), Pvalb Tpbg (14.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"86.0%), Pvalb Tpbg","86.0",", Pvalb Tpbg","Pvalb",1953,551.53,"Fede",42,"392.1",129.1,520.5,1436.58,NA,NA,347,"GABAergic","Pvalb_on",171.724673805748,0.800059088202072,NA,0.481193221623008,-0.00649675244521956,0.0433101239315046,NA,-Inf,0.0307610784573763,-0.0110954142100939,NA,NA,0.0459426042414303,TRUE,86,392.1,4,2,"GABAergic","Reln","Pvalb",0.103059679428069
"513",348,"20180830_sample_5","20180830_slice_5",2018-08-30,"sample 5","sample",5,"mouse_QLNUF",2018-06-11,80,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",918484,44159,54893,4,4476,"Pvalb","Pvalb Reln",0.48,"Pvalb Reln (47.9%), Pvalb Il1rapl2 (41.3%), Pvalb Calb1_2 (5.3%)","Pvalb Tpbg (76.0%), Pvalb Reln Itm2a (18.0%), Pvalb Reln Tac1 (6.0%)","Pvalb Tpbg (76.0%), Pvalb Reln Itm2a (18.0%), Pvalb Reln Tac1 (6.0%)","Pvalb Tpbg","Pvalb","Pvalb Tpbg",NA,NA,NA,"76.0%), Pvalb Reln Itm2a","76.0",", Pvalb Reln Itm2a","Pvalb",1537,126.02,"Fede",48,"282.7",101.9,537.3,1482.948,NA,NA,348,"GABAergic","Pvalb_on",102.892949544547,0.479374556787056,NA,0.38475815464471,-0.0530669518780938,-0.00374839058360878,NA,-Inf,0.0180553933829068,-0.0135516324409945,NA,NA,0.00500018251972271,TRUE,76,282.7,4,3,"GABAergic","Tpbg","Pvalb",0.0999006568281462
"514",349,"20180830_sample_6","20180830_slice_6",2018-08-30,"sample 6","sample",6,"mouse_QLNUF",2018-06-11,80,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1423874,1100619,153563,4,8478,"Pvalb","Pvalb Reln",0.51,"Pvalb Reln (51.0%), Pvalb Calb1_2 (44.6%)","Pvalb Reln Tac1 (70.0%), Pvalb Reln Itm2a (30.0%)","Pvalb Reln Tac1 (70.0%), Pvalb Reln Itm2a (30.0%)","Pvalb Reln Tac1","Pvalb","Pvalb Reln",NA,NA,NA,"70.0%), Pvalb Reln Itm2a","70.0",", Pvalb Reln Itm2a","Pvalb",1935,177.47,"Fede",51,"884.6",306.6,542.4,1497.024,NA,NA,349,"GABAergic","Pvalb_on",157.491199998238,0.733745844892227,NA,0.446025453005404,0.0125664566240499,0.0364644052867394,NA,-Inf,0.0412007900375649,0.0337516870055692,NA,NA,0.00247917153137964,TRUE,70,884.6,4,4,"GABAergic","Reln","Pvalb",0.103059679428069
"515",350,"20180904_sample_1","20180904_slice_1",2018-09-04,"sample 1","sample",1,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1467398,1343959,187004,4,10159,"Pvalb","Pvalb Reln",0.59,"Pvalb Reln (58.9%), Pvalb Calb1_2 (36.6%)","Pvalb Reln Tac1 (60.0%), Pvalb Reln Itm2a (40.0%)","Pvalb Reln Tac1 (60.0%), Pvalb Reln Itm2a (40.0%)","Pvalb Reln Tac1","Pvalb","Pvalb Reln",NA,NA,NA,"60.0%), Pvalb Reln Itm2a","60.0",", Pvalb Reln Itm2a","Pvalb",2119,172.02,"Fede",45,"627.5",232.6,516.9,1426.644,NA,NA,350,"GABAergic","Pvalb_on",146.160238706807,0.680955303158369,NA,0.393671204259686,0.101828702163977,0.0762056881975418,NA,-Inf,0.129839776091399,0.0723541814092441,NA,NA,0.0368307600535544,TRUE,60,627.5,8,1,"GABAergic","Reln","Pvalb",0.103059679428069
"516",351,"20180904_sample_2","20180904_slice_2",2018-09-04,"sample 2","sample",2,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",946451,1145620,160856,4,10225,"Pvalb","Pvalb Il1rapl2",0.6,"Pvalb Il1rapl2 (60.1%), Pvalb Reln (38.1%)","Pvalb Reln Itm2a (92.0%), Pvalb Tpbg (8.0%)","Pvalb Reln Itm2a (92.0%), Pvalb Tpbg (8.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"92.0%), Pvalb Tpbg","92.0",", Pvalb Tpbg","Pvalb",1852,358.02,"Matteo",59,"223.3",83,537.9,1484.604,"y",NA,351,"GABAergic","Pvalb_on",165.698146937817,0.771981715951906,NA,0.418225851686516,0.0237703146661433,0.131872596339387,NA,-Inf,0.103059679428069,0.0541457601804696,NA,NA,0.0378626820933409,TRUE,92,223.3,8,2,"GABAergic","Reln","Pvalb",0.103059679428069
"517",352,"20180904_sample_3","20180904_slice_3",2018-09-04,"sample 3","sample",3,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",2003202,553017,92287,4,11838,"Pvalb","Pvalb Reln",0.85,"Pvalb Reln (85.3%), Pvalb Kank4 (12.7%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"100.0%)","100.0","","Pvalb",2214,561.93,"Fede",39,"536.6",191.8,569.6,1572.096,"y",NA,352,"GABAergic","Pvalb_on",191.315912339143,0.891333964959198,NA,0.471833362570617,0.0536646566860924,0.216029361388611,NA,-Inf,0.115204818847376,0.00294304456041064,NA,NA,0.0149761336747668,TRUE,100,536.6,8,3,"GABAergic","Reln","Pvalb",0.103059679428069
"518",353,"20180904_sample_4","20180904_slice_4",2018-09-04,"sample 4","sample",4,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1465484,1161437,169739,4,11479,"Pvalb","Pvalb Kank4",0.8,"Pvalb Kank4 (80.3%), Pvalb Reln (8.9%), Pvalb Calb1_2 (8.1%)","Pvalb Sema3e Kank4 (95.0%)","Pvalb Sema3e Kank4 (95.0%)","Pvalb Sema3e Kank4","Pvalb","Pvalb Sema3e",NA,NA,NA,"95.0%)","95.0","","Pvalb",2177,355.24,"Matteo",50,"865.5",312.8,586.2,1617.912,"y",NA,353,"GABAergic","Pvalb_on",188.489446844275,0.878165563723993,NA,0.473088038874276,0.134050330745162,0.117467993733497,NA,-Inf,0.0199104801809983,0.0139174411054702,NA,NA,0.0637206096553818,TRUE,95,865.5,8,4,"GABAergic","Sema3e","Pvalb",0.070695638317048
"519",354,"20180904_sample_5","20180904_slice_5",2018-09-04,"sample 5","sample",5,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1360247,1071645,116002,4,11519,"Pvalb","Pvalb Il1rapl2",0.78,"Pvalb Il1rapl2 (77.6%), Pvalb Reln (17.0%), Pvalb Gpr149 (3.1%)","Pvalb Reln Itm2a (57.0%), Pvalb Tpbg (42.0%)","Pvalb Reln Itm2a (57.0%), Pvalb Tpbg (42.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"57.0%), Pvalb Tpbg","57.0",", Pvalb Tpbg","Pvalb",2204,365.54,"Fede",46,"499.5",181.9,561,1548.36,"y",NA,354,"GABAergic","Pvalb_on",154.950358588985,0.72190815601443,NA,0.253105684120593,-0.0369262831959619,0.0775123567960801,NA,-Inf,0.588637933017802,0.0534380943053448,NA,NA,0.0559668641757767,TRUE,57,499.5,8,5,"GABAergic","Reln","Pvalb",0.103059679428069
"520",355,"20180904_sample_6","20180904_slice_6",2018-09-04,"sample 6","sample",6,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV+",1190158,883120,166901,4,10659,"Pvalb","Pvalb Reln",0.91,"Pvalb Reln (90.9%), Pvalb Kank4 (4.4%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a (100.0%)","Pvalb Reln Itm2a","Pvalb","Pvalb Reln",NA,NA,NA,"100.0%)","100.0","","Pvalb",1775,308.51,"Matteo",45,"756",274,606,1672.56,NA,NA,355,"GABAergic","Pvalb_on",153.397682768917,0.714674295129176,NA,0.415843877678987,0.040438683120549,0.0836565905972591,NA,-Inf,0.134410984196022,0.00354519796923604,NA,NA,0.0708490144252246,TRUE,100,756,8,6,"GABAergic","Reln","Pvalb",0.103059679428069
"521",356,"20180904_sample_7","20180904_slice_7",2018-09-04,"sample 7","sample",7,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1912506,1856816,203934,4,10138,"Pvalb","Pvalb Il1rapl2",0.96,"Pvalb Il1rapl2 (95.9%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg (100.0%)","Pvalb Tpbg","Pvalb","Pvalb Tpbg",NA,NA,NA,"100.0%)","100.0","","Pvalb",2310,202.7,"Fede",45,"218.9",77.2,514,1418.64,"y",NA,356,"GABAergic","Pvalb_on",150.001002314205,0.69884928287389,NA,0.431651390524009,0.0485109549683014,0.0396881242082951,NA,-Inf,0.0573824468920901,0.0207603416565398,NA,NA,0.0736593667250221,TRUE,100,218.9,8,7,"GABAergic","Tpbg","Pvalb",0.0999006568281462
"522",357,"20180904_sample_9","20180904_slice_9",2018-09-04,"sample 9","sample",9,"mouse_CIEXQ",2018-06-11,85,"M","Pvalb-Cre/wt; Ai9/wt","2/3","2/3","PV+",1910213,721809,115216,4,10904,"Pvalb","Pvalb Il1rapl2",0.92,"Pvalb Il1rapl2 (91.9%), Pvalb Reln (6.3%)","Pvalb Tpbg (99.0%)","Pvalb Tpbg (99.0%)","Pvalb Tpbg","Pvalb","Pvalb Tpbg",NA,NA,NA,"99.0%)","99.0","","Pvalb",2056,226.14,"Fede",44,"397.1",142.8,638.8,1763.088,"y",NA,357,"GABAergic","Pvalb_on",155.574189568698,0.724814562145596,NA,0.486614143436341,0.129528021322195,0.0896761507684262,NA,-Inf,0.0472678357564498,0.0217026003216417,NA,NA,0.0639005872362213,TRUE,99,397.1,8,8,"GABAergic","Tpbg","Pvalb",0.0999006568281462
"523",358,"20180905_sample_1","20180905_slice_1",2018-09-05,"sample 1","sample",1,"mouse_NUCAT",2018-06-18,79,"F","Sst-IRES-Cre/wt; Ai9/wt","2/3","2/3","SST+",947988,816778,145016,4,6773,"Sst","Sst Pvalb Calb2",0.49,"Sst Pvalb Calb2 (49.1%), Sst Calb2 (48.9%)","Sst Calb2 Pdlim5 (96.0%)","Sst Calb2 Pdlim5 (96.0%)","Sst Calb2 Pdlim5","Sst","Sst Calb2",NA,NA,NA,"96.0%)","96.0","","Sst",1888,183.61,"Matteo",50,"386.3",142.3,508.8,1404.288,NA,NA,358,"GABAergic","Sst_on",159.96271428301,0.745260541186771,NA,0.408245435734226,0.184374162211559,0.00873626123146983,NA,-Inf,0.00257796302626271,0.0441691675187144,NA,NA,0.0359762304318142,TRUE,96,386.3,2,1,"GABAergic","Calb2","Sst",0.100979661765209
